2026-03-15 17:18:11 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，查看所有借用
2026-03-15 17:23:46 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-03-15 17:23:46 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志类型 | Details: 获取可用日志类型: ['action', 'error', 'access']
2026-03-15 17:23:46 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 40, 页码: 0, 页大小: 50
2026-03-15 17:24:10 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-03-15 17:24:10 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 42, 页码: 0, 页大小: 50
2026-03-15 17:24:10 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 43, 页码: 0, 页大小: 50
2026-03-15 17:24:28 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-03-15 17:24:29 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: admin, 总数: 45, 页码: 0, 页大小: 50
2026-03-15 17:50:49 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-03-15 17:50:50 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看今日预约 | Details: 查看了 2 个今日预约
2026-03-15 17:50:50 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 2 个预约，偏移量: 0, 限制: 100，查看所有预约
2026-03-15 17:50:50 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，查看所有借用
2026-03-15 17:51:53 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志类型 | Details: 获取可用日志类型: ['action', 'error', 'access']
2026-03-15 17:51:53 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 无, 总数: 51, 页码: 0, 页大小: 20
2026-03-15 17:53:01 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 error 日志，类型: error, 关键词: 无, 总数: 2, 页码: 0, 页大小: 20
2026-03-15 17:53:01 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 error 日志，类型: error, 关键词: 无, 总数: 2, 页码: 0, 页大小: 20
2026-03-15 18:18:25 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 error 日志，类型: error, 关键词: 登录失败, 总数: 2, 页码: 0, 页大小: 20
2026-03-15 18:18:34 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 error 日志，类型: error, 关键词: 登录失败, 总数: 2, 页码: 0, 页大小: 20
2026-03-15 18:19:10 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 error 日志，类型: error, 关键词: 登录失败, 总数: 2, 页码: 0, 页大小: 20
2026-03-15 18:20:12 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 access 日志，类型: access, 关键词: 登录失败, 总数: 0, 页码: 0, 页大小: 20
2026-03-15 18:20:12 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 access 日志，类型: access, 关键词: 登录失败, 总数: 0, 页码: 0, 页大小: 20
2026-03-15 18:21:15 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 登录失败, 总数: 5, 页码: 0, 页大小: 20
2026-03-15 18:21:15 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 登录失败, 总数: 6, 页码: 0, 页大小: 20
2026-03-15 18:22:12 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看日志 | Details: 查看 action 日志，类型: action, 关键词: 登录失败, 总数: 7, 页码: 0, 页大小: 20
2026-03-15 20:46:00 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-05-06 15:18:12 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 用户登录 | Details: 成功登录系统
2026-05-06 15:18:12 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看今日预约 | Details: 查看了 0 个今日预约
2026-05-06 15:18:12 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看预约列表 | Details: 获取了 2 个预约，偏移量: 0, 限制: 100，查看所有预约
2026-05-06 15:18:12 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看借用列表 | Details: 获取了 0 个借用记录，偏移量: 0, 限制: 100，查看所有借用
2026-05-06 15:18:20 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看组织列表 | Details: 获取了 1 个组织，偏移量: 0, 限制: 100
2026-05-06 15:18:20 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看用户列表 | Details: 获取了 2 个用户，偏移量: 0, 限制: 100
2026-05-06 15:18:49 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 更新用户 | Details: 用户ID: 2, 用户名: testuser -> testuser, 组织: 无
2026-05-06 15:18:49 - INFO - [用户 ID:1 | 用户名:admin | 姓名:管理员] - Action: 查看用户列表 | Details: 获取了 2 个用户，偏移量: 0, 限制: 100
2026-05-06 15:18:58 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 用户登录 | Details: 成功登录系统
2026-05-06 15:18:58 - INFO - [用户 ID:2 | 用户名:testuser | 姓名:测试用户] - Action: 查看今日预约 | Details: 查看了 0 个今日预约
